time,variance,error
22870,3396.043542881115,7120.973317279541
51530,3392.305668814748,7202.760974175606
80508,3388.4282502470655,7188.1499527427695
108441,3384.3314573038824,7186.084192085477
136401,3379.096164920273,7161.848463642853
158455,3379.096164920273,7161.848463642853
186610,3375.288241855568,7182.227384628492
214888,3410.892038353507,7182.227384628492
243084,3373.1488010464623,7175.531670613325
270811,3369.1371569065077,7153.165414330848
299113,3366.9656162412102,7136.892777291954
324746,3358.867205853765,7157.821159457141
346439,3358.867205853765,7157.821159457141
367945,3358.867205853765,7157.821159457141
397480,3351.8252097720624,7135.610591313137
423749,3358.380398911189,7135.610591313137
448594,3351.578131819674,7134.977543041123
476870,3343.200414559578,7106.667138423308
500078,3343.190537487605,7106.697811271841
524550,3339.706954818244,7098.111691636391
555053,3337.248767938733,7202.375137461702
591582,3361.492968193038,7202.375137461702
623569,3365.801347447751,7202.375137461702
655113,3360.2942714628916,7202.375137461702
680394,3337.248767938733,7202.375137461702
711739,3336.6309115789254,7186.797432369209
736418,3336.6309115789254,7186.797432369209
761201,3366.2631744406267,7186.797432369209
793606,3333.7644998785113,7255.571172838706
825162,3329.3424687858164,7249.346414638629
854841,3326.097691061451,7234.416282091688
884680,3325.4059813590347,7378.287790578975
912697,3340.4379035253955,7378.287790578975
941128,3320.1720389719344,7388.780478118222
971012,3314.792450192294,7338.921009131943
996908,3311.1220097057403,7322.672775695379
1026919,3309.04127026075,7217.352437585993
1057348,3327.8022174456946,7217.352437585993
1087666,3312.8775756997707,7217.352437585993
1113825,3307.8788993416174,7203.686870231681
1143332,3301.1635122115017,7203.3124588153305
1173277,3297.8626949939576,7284.741710426331
1203695,3292.7999202200044,7016.599094532047
1234417,3305.262308328173,7016.599094532047
1258475,3292.456377131184,7091.04442636961
1288942,3288.0629567926003,6957.817990230633
1318670,3277.855351508542,6924.501756635737
1343182,3302.486619742182,6924.501756635737
1373241,3276.793235582574,6905.96266029236
1401049,3273.9071703816926,6921.0545413901655
1424557,3273.9071703816926,6921.0545413901655
1454786,3266.673227837135,6910.205102623692
1487508,3265.3573299101467,6925.458817240206
1513793,3265.1830053437543,6926.0090424099135
1544926,3262.376018205064,6924.772296095238
1575625,3258.0891085592575,6925.57751746641
1608557,3254.907455012071,6928.6749821781095
1639265,3251.7607889215546,6882.586377826555
1663531,3251.7607889215546,6882.586377826555
1693696,3268.888797725718,6882.586377826555
1726367,3245.6397927753897,6813.637459669557
1759122,3268.1623451154987,6813.637459669557
1790326,3244.2324563627994,6840.840089221381
1820165,3242.449535939661,6994.221322395669
1853263,3238.5996572124254,6946.9884957692875
1878551,3238.234521864513,6928.969683358052
1908924,3235.326073952105,6925.712855959788
1934065,3235.211875347463,6923.407548733399
1962818,3234.185441981162,6926.856348153818
1987246,3234.185441981162,6926.856348153818
2012092,3234.0057162679896,6924.885506795768
2044159,3230.2248733826414,6871.18651337692
2072827,3240.19609738337,6871.18651337692
2105561,3227.5028529547726,6851.7893068051
2132562,3226.8435878684777,6829.901073147162
2164179,3226.0792304867637,6840.286842166976
2189837,3226.0792304867637,6840.286842166976
2216482,3237.732538658399,6840.286842166976
2246309,3225.3595097250154,6826.687446102992
2271723,3251.8203329067933,6826.687446102992
2298713,3224.862530985867,6854.179546071263
2329301,3222.9006012769023,6876.197996651142
2357309,3241.146752536723,6876.197996651142
2387036,3218.9181748010133,6788.396494934575
2412993,3218.87299600233,6762.189674853552
2441044,3217.654477133137,6739.008127624152
2471134,3215.8276875910037,6710.674585538246
2501257,3236.1548832209096,6710.674585538246
2531361,3213.2612825534143,6737.203678655233
2559556,3212.221704630689,6749.943396627059
2590897,3209.712347191082,6763.219105484909
2622337,3220.6680350732836,6763.219105484909
2654031,3207.527301814512,6751.988087401283
2680802,3207.302757295958,6564.958615614299
2707951,3207.282864681002,6564.012244243887
2738095,3205.730490636291,6521.503142482456
2769891,3204.646097563225,6488.955723996716
2800671,3201.748232424392,6571.230657749366
2826992,3201.6897883432866,6597.602930580917
2851681,3201.6897883432866,6597.602930580917
2881721,3216.5301794146376,6597.602930580917
2911819,3199.5909009586535,6603.840857990474
2942707,3198.5010229469567,6719.177327484742
2968344,3198.0705430488865,6717.124739928856
2996644,3197.3333413785917,6714.26731549517
3026929,3195.3217560515113,6725.789611231335
3050921,3211.253218099931,6725.789611231335
3081006,3193.0249429816995,6676.408992354457
3113130,3190.261854215875,6708.827611213041
3138550,3190.070274890847,6709.2766390872275
3169408,3188.0035251033732,6683.804096417545
3195493,3207.254986391556,6683.804096417545
3220561,3188.0035251033732,6683.804096417545
3247725,3225.3828288084947,6683.804096417545
3274076,3187.72759332877,6686.549413319723
3299488,3187.6900429777747,6690.560932293877
3323805,3187.6900429777747,6690.560932293877
3348013,3187.6900429777747,6690.560932293877
3374669,3186.9249703875,6665.336254517709
3404044,3184.7355278123255,6664.056894860159
3432407,3184.234425716866,6659.691796394801
3457712,3184.214361050227,6663.575738080601
3489537,3181.978395630829,6705.143827981513
3516181,3181.85660089492,6704.776180508664
3542488,3181.5382574028617,6704.358175180267
3568286,3181.5382574028617,6704.358175180267
3599624,3179.6605929646403,6682.04769049457
3628759,3178.7334630208725,6637.805283470505
3658204,3186.020499525462,6637.805283470505
3683656,3178.516789174741,6637.214659954459
3713818,3193.2985234582065,6637.214659954459
3738098,3191.501149256797,6637.214659954459
3761745,3178.516789174741,6637.214659954459
3785357,3204.3423783928924,6637.214659954459
3813377,3190.639187589516,6637.214659954459
3838985,3178.402097821424,6637.391897381849
3867943,3177.3741663716937,6631.533098748478
3895704,3176.1034449465187,6633.294111783654
3920293,3175.5170106985074,6656.962652706664
3948521,3194.5833890068934,6656.962652706664
3975552,3174.8400702531403,6675.6356050027225
4001736,3173.897064521241,6704.449371591244
4024685,3173.897064521241,6704.449371591244
4050322,3173.4941956163448,6704.517462744155
4076284,3204.4577296179605,6704.517462744155
4104196,3172.9017643762318,6703.181771834748
4130205,3172.680736992328,6707.306798768296
4155889,3172.595195801604,6706.266527985795
4184709,3188.1820229069945,6706.266527985795
4214327,3189.733078691561,6706.266527985795
4241436,3172.4208673333324,6708.676171480142
4271518,3170.4938808697007,6763.365584569947
4298581,3170.2659290233164,6754.038010945521
4323356,3170.2659290233164,6754.038010945521
4348086,3170.2659290233164,6754.038010945521
4373735,3170.09237015952,6754.044394549906
4405461,3169.1298714011486,6811.891070628614
4431289,3169.1298714011486,6811.891070628614
4459129,3168.913754118879,6811.113672720561
4489851,3167.2407380943146,6694.681550721147
4514676,3167.2407380943146,6694.681550721147
4544160,3166.911187354851,6696.908205649582
4570057,3166.562213348142,6705.860429286617
4598196,3166.233885395329,6713.891265445248
4622079,3165.819191712266,6713.295660318613
4648751,3165.0196623940533,6756.286343949371
4673013,3165.0196623940533,6756.286343949371
4701360,3164.7114756306078,6760.998448934164
4728995,3171.0113999308423,6760.998448934164
4753303,3164.7114756306078,6760.998448934164
4779630,3164.1110666545824,6739.919840595862
4805599,3163.9067630410623,6738.437196156737
4832226,3163.598168849751,6738.142646602713
4856405,3163.598168849751,6738.142646602713
4888706,3171.7007886283404,6738.142646602713
4915876,3162.4245946505594,6739.158820529242
4944768,3161.553004654208,6745.3893812996575
4973329,3159.882439957569,6736.872866865778
4997434,3159.7760227362337,6728.671910321592
5025234,3159.2917462809232,6719.675065771908
5050415,3158.799892268703,6714.03066260153
5079837,3157.547263207154,6711.222830203052
5106713,3157.1016101828327,6718.297883475519
5131403,3156.801561686401,6718.4000181695
5155371,3156.801561686401,6718.4000181695
5183488,3156.0367113742286,6718.731504421038
5213503,3155.5894943818553,6720.226147307829
5243255,3153.8404535212403,6710.734767155545
5272173,3151.815867173674,6650.0308832899855
5301011,3163.755057577112,6650.0308832899855
5326893,3150.1283757504984,6659.245109217635
5359400,3156.4872291254173,6659.245109217635
5385568,3172.797603877194,6659.245109217635
5407891,3150.1283757504984,6659.245109217635
5434603,3163.328062997848,6659.245109217635
5460494,3150.0709236388107,6655.431675359542
5483134,3150.0709236388107,6655.431675359542
5509824,3149.7352754991725,6652.765748231066
5537327,3149.568370006502,6653.787824969737
5559730,3149.568370006502,6653.787824969737
5582480,3159.3728167694317,6653.787824969737
5605777,3149.555722024073,6653.614265858542
5628543,3149.4896256670604,6653.692796988638
5656706,3148.968240174992,6650.364621547618
5683898,3148.347736688826,6648.521789985101
5707902,3168.0502144529623,6648.521789985101
5736910,3172.314362688482,6648.521789985101
5766061,3148.00043837076,6612.086540035571
5791060,3147.7554411007577,6610.54931782733
5820428,3147.1840136299797,6529.356875195766
5844015,3176.2514508986696,6529.356875195766
5870910,3146.5729120426577,6524.798820939083
5896403,3146.455764616545,6573.6333263461
5919102,3146.455764616545,6573.6333263461
5943147,3146.4480360610232,6573.535632491394
5965996,3146.4480360610232,6573.535632491394
5994940,3161.115857031275,6573.535632491394
6020063,3167.19837547239,6573.535632491394
6045546,3146.3915837148875,6571.164574282011
6069663,3146.1894408620838,6563.660337313836
6094339,3145.9135581653923,6563.655311830167
6118541,3145.649927805401,6563.654824182751
6141613,3145.649927805401,6563.654824182751
6164931,3145.5942732243752,6563.257901316884
6190556,3145.51250718297,6562.454934117895
6213754,3145.51250718297,6562.454934117895
6248197,3166.9925687504783,6562.454934117895
6278144,3145.359537650015,6461.929050461653
6303981,3145.3342216962237,6471.052026427134
6328982,3145.3342216962237,6471.052026427134
6354145,3144.9594833460724,6468.579229454633
6384459,3144.4719002046004,6376.255815487531
6413842,3144.064695249142,6371.583743806398
6437349,3144.064695249142,6371.583743806398
6467308,3143.441482538789,6345.751770552098
6493229,3165.840235130418,6345.751770552098
6517512,3143.441482538789,6345.751770552098
6544021,3142.5652305211643,6345.498449082629
6569032,3142.5652305211643,6345.498449082629
6594164,3142.5652305211643,6345.498449082629
6621113,3161.818720884049,6345.498449082629
6648665,3142.545409614395,6359.73593363008
6673014,3167.7349682614913,6359.73593363008
6698354,3161.192452674258,6359.73593363008
6722110,3142.545409614395,6359.73593363008
6750350,3141.803607528674,6356.99083153824
6779191,3141.4783340768136,6358.01932162163
6805710,3141.257557405117,6352.394347915725
6832842,3141.0714084880624,6353.319618989303
6862052,3164.076955827345,6353.319618989303
6887161,3140.9903634237708,6350.305472687829
6911252,3140.9903634237708,6350.305472687829
6938855,3140.835479651853,6201.626929503899
6965348,3140.835479651853,6201.626929503899
6991535,3153.9940013099977,6201.626929503899
7019271,3140.6568982065055,6200.116379489852
7046801,3140.4917026417775,6200.134921634195
7075617,3140.344262068659,6139.380746417303
7099954,3162.5273081992323,6139.380746417303
7128906,3140.285723475914,6139.415499582914
7155635,3140.285723475914,6139.415499582914
7181576,3140.276487916341,6139.398040342275
7206748,3159.5317572303416,6139.398040342275
7237132,3140.0189418120867,6180.495544093851
7266278,3168.2848524724495,6180.495544093851
7296676,3139.405255223321,6162.587369418842
7323440,3169.4506964258476,6162.587369418842
7353397,3157.4882876507017,6162.587369418842
7378915,3163.073065434985,6162.587369418842
7406393,3139.240403954278,6163.95866636769
7434743,3139.209274123775,6163.957723386192
7462263,3138.9277951035406,6157.053877284676
7492224,3167.0177533060814,6157.053877284676
7518882,3138.918460372509,6156.872623644715
7545880,3138.918460372509,6156.872623644715
7575039,3138.5559389532364,6126.517583562619
7602066,3138.4578738254827,6126.436423207904
7632367,3138.2652643595147,6133.266606671739
7659132,3138.0731719018268,6133.74146029797
7683421,3163.5712145622247,6133.74146029797
7710228,3137.981095608342,6133.890514426543
7740783,3137.3299622039867,6033.254354326715
7766383,3137.2957753932646,6033.86624342515
7796064,3136.708254058838,6031.686712121539
7820484,3136.708254058838,6031.686712121539
7846322,3136.200853417634,6032.132074292344
7870957,3135.975719787101,6032.557883341198
7900165,3135.8213664587365,6032.946437055152
7925213,3135.8213664587365,6032.946437055152
7950212,3135.71088288305,6031.830509814463
7977991,3135.65484266372,6031.723219496519
8002592,3150.3533923584196,6031.723219496519
8029863,3135.6362903613754,6033.342233656518
8059708,3155.8677510241077,6033.342233656518
8086755,3135.550542743006,6032.927382913752
8115601,3134.684049752832,6031.142429085962
8139268,3134.6738873659438,6034.170707355915
8163648,3161.574179856639,6034.170707355915
8188918,3134.672407453945,6034.171237646448
8213036,3134.672407453945,6034.171237646448
8243008,3150.8124880185615,6034.171237646448
8270576,3153.6066763875606,6034.171237646448
8296110,3134.6478563148057,6037.327594768213
8321040,3134.6338090581125,6037.327731518666
8344588,3134.6338090581125,6037.327731518666
8368081,3134.6338090581125,6037.327731518666
8391575,3134.6338090581125,6037.327731518666
8415829,3134.5391866457776,6037.584758853437
8440582,3134.3070290077258,6038.891398062218
8465179,3158.3289817321947,6038.891398062218
8488740,3134.3070290077258,6038.891398062218
8512760,3134.3070290077258,6038.891398062218
8538104,3134.2864379519488,6040.637943107018
8564712,3134.1462714773984,6041.434103147229
8589254,3134.003678623609,6041.674428054015
8612492,3134.003678623609,6041.674428054015
8639499,3153.1553798048253,6041.674428054015
8668682,3133.54135653228,6036.449783118611
8693127,3133.527354614369,6036.460112849541
8722501,3154.6457563316685,6036.460112849541
8750345,3133.4505967684095,6036.572071798644
8775399,3133.4505967684095,6036.572071798644
8801285,3133.40889925147,6044.130609016712
8826137,3133.3860992351097,6058.829515160564
8854914,3159.078447863786,6058.829515160564
8882346,3133.2005008110627,6052.224730324675
8905651,3153.023643861145,6052.224730324675
8930693,3133.1989006219405,6054.576851260739
8954372,3133.1989006219405,6054.576851260739
8978207,3133.1989006219405,6054.576851260739
9004259,3133.1638605775565,6054.360197911726
9027553,3133.1638605775565,6054.360197911726
9051096,3133.0995225046436,6050.831797858344
9075584,3133.0459401038365,6051.036303013408
9099801,3149.6088772957273,6051.036303013408
9123327,3133.0459401038365,6051.036303013408
9147110,3133.004799451237,6053.951507374089
9175899,3131.9106175202364,6070.368504852093
9198783,3131.9106175202364,6070.368504852093
9221838,3131.9106175202364,6070.368504852093
9244776,3150.9520001500205,6070.368504852093
9268813,3131.889063233493,6070.369869620763
9297690,3131.51714732159,6087.449153614982
9326279,3152.950261466465,6087.449153614982
9349433,3131.51714732159,6087.449153614982
9372799,3131.51714732159,6087.449153614982
9395893,3131.51714732159,6087.449153614982
9419162,3131.51714732159,6087.449153614982
9442686,3131.4597668525244,6010.484835309725
9465569,3131.4597668525244,6010.484835309725
9491720,3131.378499329356,6024.023169151672
9515476,3152.809218208079,6024.023169151672
9540238,3142.529075276133,6024.023169151672
9565361,3131.2213280298506,6023.8764313134425
9594786,3131.0751560998137,5986.287731711014
9619753,3131.042022824901,5986.282486805633
9643396,3131.005795203215,5986.702307725364
9667369,3130.653838857243,5986.702093881279
9690665,3130.653838857243,5986.702093881279
9713884,3130.4083981909516,5986.6020772526745
9738566,3159.524658023825,5986.6020772526745
9763583,3144.718399080142,5986.6020772526745
